,ds,y,location
17521,2022-07-01,11485,테크노파크
17523,2022-07-02,9804,테크노파크
17525,2022-07-03,7155,테크노파크
17527,2022-07-04,10117,테크노파크
17529,2022-07-05,10823,테크노파크
17531,2022-07-06,10894,테크노파크
17533,2022-07-07,10268,테크노파크
17535,2022-07-08,11138,테크노파크
17537,2022-07-09,10174,테크노파크
17539,2022-07-10,7811,테크노파크
17541,2022-07-11,10236,테크노파크
17543,2022-07-12,10729,테크노파크
17545,2022-07-13,9334,테크노파크
17547,2022-07-14,10760,테크노파크
17549,2022-07-15,11528,테크노파크
17551,2022-07-16,9791,테크노파크
17553,2022-07-17,7747,테크노파크
17555,2022-07-18,10222,테크노파크
17557,2022-07-19,10553,테크노파크
17559,2022-07-20,10871,테크노파크
17561,2022-07-21,10418,테크노파크
17563,2022-07-22,12411,테크노파크
17565,2022-07-23,8727,테크노파크
17567,2022-07-24,6842,테크노파크
17569,2022-07-25,10397,테크노파크
17571,2022-07-26,10413,테크노파크
17573,2022-07-27,10509,테크노파크
17575,2022-07-28,10626,테크노파크
17577,2022-07-29,10760,테크노파크
17579,2022-07-30,8644,테크노파크
17581,2022-07-31,5913,테크노파크
17583,2022-08-01,9445,테크노파크
17585,2022-08-02,8996,테크노파크
17587,2022-08-03,9338,테크노파크
17589,2022-08-04,9934,테크노파크
17591,2022-08-05,10431,테크노파크
17593,2022-08-06,8857,테크노파크
17595,2022-08-07,6748,테크노파크
17597,2022-08-08,8773,테크노파크
17599,2022-08-09,8623,테크노파크
17601,2022-08-10,10174,테크노파크
17603,2022-08-11,9752,테크노파크
17605,2022-08-12,10689,테크노파크
17607,2022-08-13,7904,테크노파크
17609,2022-08-14,7603,테크노파크
17611,2022-08-15,6661,테크노파크
17613,2022-08-16,10085,테크노파크
17615,2022-08-17,10177,테크노파크
17617,2022-08-18,10315,테크노파크
17619,2022-08-19,10302,테크노파크
17621,2022-08-20,8896,테크노파크
17623,2022-08-21,7119,테크노파크
17625,2022-08-22,9756,테크노파크
17627,2022-08-23,9980,테크노파크
17629,2022-08-24,10307,테크노파크
17631,2022-08-25,10158,테크노파크
17633,2022-08-26,11198,테크노파크
17635,2022-08-27,11212,테크노파크
17637,2022-08-28,8327,테크노파크
17639,2022-08-29,10773,테크노파크
17641,2022-08-30,9929,테크노파크
17643,2022-08-31,11004,테크노파크
17645,2022-09-01,11233,테크노파크
17647,2022-09-02,12189,테크노파크
17649,2022-09-03,11047,테크노파크
17651,2022-09-04,6629,테크노파크
17653,2022-09-05,9295,테크노파크
17655,2022-09-06,9813,테크노파크
17657,2022-09-07,11300,테크노파크
17659,2022-09-08,11225,테크노파크
17661,2022-09-09,6898,테크노파크
17663,2022-09-10,3449,테크노파크
17665,2022-09-11,7964,테크노파크
17667,2022-09-12,8343,테크노파크
17669,2022-09-13,10250,테크노파크
17671,2022-09-14,10506,테크노파크
17673,2022-09-15,10635,테크노파크
17675,2022-09-16,11095,테크노파크
17677,2022-09-17,9582,테크노파크
17679,2022-09-18,7663,테크노파크
17681,2022-09-19,10355,테크노파크
17683,2022-09-20,10434,테크노파크
17685,2022-09-21,10872,테크노파크
17687,2022-09-22,11039,테크노파크
17689,2022-09-23,11409,테크노파크
17691,2022-09-24,10478,테크노파크
17693,2022-09-25,7898,테크노파크
17695,2022-09-26,10354,테크노파크
17697,2022-09-27,10751,테크노파크
17699,2022-09-28,11144,테크노파크
17701,2022-09-29,10973,테크노파크
17703,2022-09-30,11426,테크노파크
17705,2022-10-01,9726,테크노파크
17707,2022-10-02,7899,테크노파크
17709,2022-10-03,6833,테크노파크
17711,2022-10-04,10463,테크노파크
17713,2022-10-05,10858,테크노파크
17715,2022-10-06,10788,테크노파크
17717,2022-10-07,11919,테크노파크
17719,2022-10-08,9949,테크노파크
17721,2022-10-09,7398,테크노파크
17723,2022-10-10,7375,테크노파크
17725,2022-10-11,10555,테크노파크
17727,2022-10-12,10686,테크노파크
17729,2022-10-13,11095,테크노파크
17731,2022-10-14,11759,테크노파크
17733,2022-10-15,9752,테크노파크
17735,2022-10-16,7489,테크노파크
17737,2022-10-17,10504,테크노파크
17739,2022-10-18,10868,테크노파크
17741,2022-10-19,10874,테크노파크
17743,2022-10-20,10961,테크노파크
17745,2022-10-21,11708,테크노파크
17747,2022-10-22,10212,테크노파크
17749,2022-10-23,8122,테크노파크
17751,2022-10-24,10383,테크노파크
17753,2022-10-25,10924,테크노파크
17755,2022-10-26,11134,테크노파크
17757,2022-10-27,11306,테크노파크
17759,2022-10-28,11849,테크노파크
17761,2022-10-29,10008,테크노파크
17763,2022-10-30,7532,테크노파크
17765,2022-10-31,10506,테크노파크
17767,2022-11-01,10696,테크노파크
17769,2022-11-02,10882,테크노파크
17771,2022-11-03,10769,테크노파크
17773,2022-11-04,11666,테크노파크
17775,2022-11-05,9985,테크노파크
17777,2022-11-06,8171,테크노파크
17779,2022-11-07,10630,테크노파크
17781,2022-11-08,10848,테크노파크
17783,2022-11-09,10947,테크노파크
17785,2022-11-10,10947,테크노파크
17787,2022-11-11,11747,테크노파크
17789,2022-11-12,9447,테크노파크
17791,2022-11-13,7656,테크노파크
17793,2022-11-14,10679,테크노파크
17795,2022-11-15,10545,테크노파크
17797,2022-11-16,10890,테크노파크
17799,2022-11-17,12272,테크노파크
17801,2022-11-18,12585,테크노파크
17803,2022-11-19,9807,테크노파크
17805,2022-11-20,8137,테크노파크
17807,2022-11-21,10410,테크노파크
17809,2022-11-22,10741,테크노파크
17811,2022-11-23,10799,테크노파크
17813,2022-11-24,10996,테크노파크
17815,2022-11-25,11479,테크노파크
17817,2022-11-26,10219,테크노파크
17819,2022-11-27,7808,테크노파크
17821,2022-11-28,9992,테크노파크
17823,2022-11-29,10595,테크노파크
17825,2022-11-30,10879,테크노파크
17827,2022-12-01,10552,테크노파크
17829,2022-12-02,11196,테크노파크
17831,2022-12-03,9574,테크노파크
17833,2022-12-04,7533,테크노파크
17835,2022-12-05,10077,테크노파크
17837,2022-12-06,10818,테크노파크
17839,2022-12-07,10780,테크노파크
17841,2022-12-08,10837,테크노파크
17843,2022-12-09,11398,테크노파크
17845,2022-12-10,9997,테크노파크
17847,2022-12-11,7541,테크노파크
17849,2022-12-12,10266,테크노파크
17851,2022-12-13,11214,테크노파크
17853,2022-12-14,11018,테크노파크
17855,2022-12-15,11715,테크노파크
17857,2022-12-16,12780,테크노파크
17859,2022-12-17,11630,테크노파크
17861,2022-12-18,7868,테크노파크
17863,2022-12-19,10362,테크노파크
17865,2022-12-20,11109,테크노파크
17867,2022-12-21,12773,테크노파크
17869,2022-12-22,11859,테크노파크
17871,2022-12-23,11621,테크노파크
17873,2022-12-24,12512,테크노파크
17875,2022-12-25,12098,테크노파크
17877,2022-12-26,10571,테크노파크
17879,2022-12-27,10773,테크노파크
17881,2022-12-28,10670,테크노파크
17883,2022-12-29,10704,테크노파크
17885,2022-12-30,11137,테크노파크
17887,2022-12-31,8954,테크노파크
17889,2023-01-01,6874,테크노파크
17891,2023-01-02,9351,테크노파크
17893,2023-01-03,10126,테크노파크
17895,2023-01-04,10261,테크노파크
17897,2023-01-05,10473,테크노파크
17899,2023-01-06,10956,테크노파크
17901,2023-01-07,9198,테크노파크
17903,2023-01-08,7170,테크노파크
17905,2023-01-09,10049,테크노파크
17907,2023-01-10,10529,테크노파크
17909,2023-01-11,10491,테크노파크
17911,2023-01-12,10640,테크노파크
17913,2023-01-13,10433,테크노파크
17915,2023-01-14,8717,테크노파크
17917,2023-01-15,6988,테크노파크
17919,2023-01-16,9965,테크노파크
17921,2023-01-17,10346,테크노파크
17923,2023-01-18,10524,테크노파크
17925,2023-01-19,10436,테크노파크
17927,2023-01-20,9990,테크노파크
17929,2023-01-21,5664,테크노파크
17931,2023-01-22,2634,테크노파크
17933,2023-01-23,7274,테크노파크
17935,2023-01-24,5478,테크노파크
17937,2023-01-25,8839,테크노파크
17939,2023-01-26,11881,테크노파크
17941,2023-01-27,10804,테크노파크
17943,2023-01-28,8963,테크노파크
17945,2023-01-29,7214,테크노파크
17947,2023-01-30,10217,테크노파크
17949,2023-01-31,10599,테크노파크
17951,2023-02-01,10625,테크노파크
17953,2023-02-02,10400,테크노파크
17955,2023-02-03,10909,테크노파크
17957,2023-02-04,9518,테크노파크
17959,2023-02-05,7523,테크노파크
17961,2023-02-06,10227,테크노파크
17963,2023-02-07,10520,테크노파크
17965,2023-02-08,10857,테크노파크
17967,2023-02-09,10653,테크노파크
17969,2023-02-10,11110,테크노파크
17971,2023-02-11,9939,테크노파크
17973,2023-02-12,7506,테크노파크
17975,2023-02-13,10329,테크노파크
17977,2023-02-14,11030,테크노파크
17979,2023-02-15,10785,테크노파크
17981,2023-02-16,10865,테크노파크
17983,2023-02-17,11448,테크노파크
17985,2023-02-18,9333,테크노파크
17987,2023-02-19,7797,테크노파크
17989,2023-02-20,10417,테크노파크
17991,2023-02-21,10795,테크노파크
17993,2023-02-22,10605,테크노파크
17995,2023-02-23,10949,테크노파크
17997,2023-02-24,11312,테크노파크
17999,2023-02-25,9752,테크노파크
18001,2023-02-26,7877,테크노파크
18003,2023-02-27,10827,테크노파크
18005,2023-02-28,11140,테크노파크
18007,2023-03-01,8609,테크노파크
18009,2023-03-02,10690,테크노파크
18011,2023-03-03,11045,테크노파크
18013,2023-03-04,9704,테크노파크
18015,2023-03-05,7663,테크노파크
18017,2023-03-06,10825,테크노파크
18019,2023-03-07,10746,테크노파크
18021,2023-03-08,11020,테크노파크
18023,2023-03-09,11002,테크노파크
18025,2023-03-10,11845,테크노파크
18027,2023-03-11,10223,테크노파크
18029,2023-03-12,7183,테크노파크
18031,2023-03-13,10476,테크노파크
18033,2023-03-14,10959,테크노파크
18035,2023-03-15,10807,테크노파크
18037,2023-03-16,11087,테크노파크
18039,2023-03-17,11598,테크노파크
18041,2023-03-18,10240,테크노파크
18043,2023-03-19,7831,테크노파크
18045,2023-03-20,10612,테크노파크
18047,2023-03-21,10938,테크노파크
18049,2023-03-22,10825,테크노파크
18051,2023-03-23,10779,테크노파크
18053,2023-03-24,11579,테크노파크
18055,2023-03-25,10233,테크노파크
18057,2023-03-26,8518,테크노파크
18059,2023-03-27,10540,테크노파크
18061,2023-03-28,10751,테크노파크
18063,2023-03-29,10933,테크노파크
18065,2023-03-30,11122,테크노파크
18067,2023-03-31,11576,테크노파크
18069,2023-04-01,9888,테크노파크
18071,2023-04-02,8031,테크노파크
18073,2023-04-03,10680,테크노파크
18075,2023-04-04,10695,테크노파크
18077,2023-04-05,9943,테크노파크
18079,2023-04-06,10226,테크노파크
18081,2023-04-07,11209,테크노파크
18083,2023-04-08,9810,테크노파크
18085,2023-04-09,7811,테크노파크
18087,2023-04-10,10732,테크노파크
18089,2023-04-11,10012,테크노파크
18091,2023-04-12,10835,테크노파크
18093,2023-04-13,10728,테크노파크
18095,2023-04-14,11213,테크노파크
18097,2023-04-15,8749,테크노파크
18099,2023-04-16,7146,테크노파크
18101,2023-04-17,10500,테크노파크
18103,2023-04-18,10200,테크노파크
18105,2023-04-19,10923,테크노파크
18107,2023-04-20,10779,테크노파크
18109,2023-04-21,11188,테크노파크
18111,2023-04-22,9400,테크노파크
18113,2023-04-23,7475,테크노파크
18115,2023-04-24,10650,테크노파크
18117,2023-04-25,10433,테크노파크
18119,2023-04-26,11114,테크노파크
18121,2023-04-27,11281,테크노파크
18123,2023-04-28,12230,테크노파크
18125,2023-04-29,9203,테크노파크
18127,2023-04-30,8909,테크노파크
18129,2023-05-01,8269,테크노파크
18131,2023-05-02,11400,테크노파크
18133,2023-05-03,11705,테크노파크
18135,2023-05-04,12286,테크노파크
18137,2023-05-05,8393,테크노파크
18139,2023-05-06,8523,테크노파크
18141,2023-05-07,7995,테크노파크
18143,2023-05-08,11342,테크노파크
18145,2023-05-09,10978,테크노파크
18147,2023-05-10,11208,테크노파크
18149,2023-05-11,11243,테크노파크
18151,2023-05-12,11973,테크노파크
18153,2023-05-13,10711,테크노파크
18155,2023-05-14,8611,테크노파크
18157,2023-05-15,10946,테크노파크
18159,2023-05-16,11037,테크노파크
18161,2023-05-17,11423,테크노파크
18163,2023-05-18,10980,테크노파크
18165,2023-05-19,11921,테크노파크
18167,2023-05-20,10614,테크노파크
18169,2023-05-21,8021,테크노파크
18171,2023-05-22,10829,테크노파크
18173,2023-05-23,11029,테크노파크
18175,2023-05-24,11376,테크노파크
18177,2023-05-25,11279,테크노파크
18179,2023-05-26,11706,테크노파크
18181,2023-05-27,8713,테크노파크
18183,2023-05-28,7420,테크노파크
18185,2023-05-29,8180,테크노파크
18187,2023-05-30,10887,테크노파크
18189,2023-05-31,11062,테크노파크
18191,2023-06-01,11213,테크노파크
18193,2023-06-02,11645,테크노파크
18195,2023-06-03,10262,테크노파크
18197,2023-06-04,8039,테크노파크
18199,2023-06-05,10863,테크노파크
18201,2023-06-06,8057,테크노파크
18203,2023-06-07,10740,테크노파크
18205,2023-06-08,10590,테크노파크
18207,2023-06-09,11377,테크노파크
18209,2023-06-10,9333,테크노파크
18211,2023-06-11,7166,테크노파크
18213,2023-06-12,10477,테크노파크
18215,2023-06-13,10858,테크노파크
18217,2023-06-14,10947,테크노파크
18219,2023-06-15,11254,테크노파크
18221,2023-06-16,11981,테크노파크
18223,2023-06-17,10099,테크노파크
18225,2023-06-18,8253,테크노파크
18227,2023-06-19,10537,테크노파크
