지점,지점명,일시,평균기온(°C)
112,인천,2023-02-01,-.4
112,인천,2023-02-02,-3.1
112,인천,2023-02-03,-2.2
112,인천,2023-02-04,-.2
112,인천,2023-02-05,1.8
112,인천,2023-02-06,2.7
112,인천,2023-02-07,2.2
112,인천,2023-02-08,1.5
112,인천,2023-02-09,3.9
112,인천,2023-02-10,3.3
112,인천,2023-02-11,1.6
112,인천,2023-02-12,3
112,인천,2023-02-13,4.4
112,인천,2023-02-14,.4
112,인천,2023-02-15,2.5
112,인천,2023-02-16,1.7
112,인천,2023-02-17,3.1
112,인천,2023-02-18,3.9
112,인천,2023-02-19,2.6
112,인천,2023-02-20,-.6
112,인천,2023-02-21,-2
112,인천,2023-02-22,0
112,인천,2023-02-23,2.3
112,인천,2023-02-24,2.6
112,인천,2023-02-25,.1
112,인천,2023-02-26,1.8
112,인천,2023-02-27,3
112,인천,2023-02-28,4
112,인천,2023-03-01,5.2
112,인천,2023-03-02,1.9
112,인천,2023-03-03,4.3
