지점,지점명,일시,평균기온(°C)
112,인천,2022-07-01,25.6
112,인천,2022-07-02,26.5
112,인천,2022-07-03,27.1
112,인천,2022-07-04,27.3
112,인천,2022-07-05,27.3
112,인천,2022-07-06,29
112,인천,2022-07-07,27.6
112,인천,2022-07-08,24.4
112,인천,2022-07-09,25.3
112,인천,2022-07-10,26.7
112,인천,2022-07-11,26.7
112,인천,2022-07-12,26.7
112,인천,2022-07-13,24.4
112,인천,2022-07-14,24
112,인천,2022-07-15,24.3
112,인천,2022-07-16,24.4
112,인천,2022-07-17,24.6
112,인천,2022-07-18,25.9
112,인천,2022-07-19,25.8
112,인천,2022-07-20,25.8
112,인천,2022-07-21,23.2
112,인천,2022-07-22,24.8
112,인천,2022-07-23,24.2
112,인천,2022-07-24,24.5
112,인천,2022-07-25,25.8
112,인천,2022-07-26,27.5
112,인천,2022-07-27,27.8
112,인천,2022-07-28,28.4
112,인천,2022-07-29,29.3
112,인천,2022-07-30,31.1
112,인천,2022-07-31,27.2
112,인천,2022-08-01,27.7
112,인천,2022-08-02,25.5
112,인천,2022-08-03,26.3
112,인천,2022-08-04,27.3
112,인천,2022-08-05,27.8
112,인천,2022-08-06,27.7
112,인천,2022-08-07,28.1
112,인천,2022-08-08,26.2
112,인천,2022-08-09,24.2
112,인천,2022-08-10,22.7
112,인천,2022-08-11,23.5
112,인천,2022-08-12,25.1
112,인천,2022-08-13,24.6
112,인천,2022-08-14,26.8
112,인천,2022-08-15,27.2
112,인천,2022-08-16,25
112,인천,2022-08-17,25.2
112,인천,2022-08-18,25
112,인천,2022-08-19,25.7
112,인천,2022-08-20,26.7
112,인천,2022-08-21,27
112,인천,2022-08-22,26.2
112,인천,2022-08-23,24.4
112,인천,2022-08-24,24.5
112,인천,2022-08-25,22.4
112,인천,2022-08-26,23.7
112,인천,2022-08-27,21.4
112,인천,2022-08-28,22.4
112,인천,2022-08-29,20.8
112,인천,2022-08-30,19
112,인천,2022-08-31,21.5
112,인천,2022-09-01,23.9
112,인천,2022-09-02,25.1
112,인천,2022-09-03,24.5
112,인천,2022-09-04,22.9
112,인천,2022-09-05,18.5
112,인천,2022-09-06,20.9
112,인천,2022-09-07,22.6
112,인천,2022-09-08,22.4
112,인천,2022-09-09,24.1
112,인천,2022-09-10,23.7
112,인천,2022-09-11,22.7
112,인천,2022-09-12,23.2
112,인천,2022-09-13,24.3
112,인천,2022-09-14,24.4
112,인천,2022-09-15,25.6
112,인천,2022-09-16,25.3
112,인천,2022-09-17,24.5
112,인천,2022-09-18,25.8
112,인천,2022-09-19,23.2
112,인천,2022-09-20,19.1
112,인천,2022-09-21,18.6
112,인천,2022-09-22,19.7
112,인천,2022-09-23,17.8
112,인천,2022-09-24,18.7
112,인천,2022-09-25,20
112,인천,2022-09-26,19.8
