,ID,카테고리,소분류,제목,주소,전화번호,경도,위도,애완동물동반가능정보,주차시설,쉬는날,영업시간,이용요금,화장실설명,외국어안내서비스,사고보험가입여부,판매품목,편의시설,대표메뉴,포장가능여부,입실시간,퇴실시간,부대시설,키워드리스트,이미지주소1,이미지주소2
132,492,음식,한식,돈비어천가,인천 중구 개항로 53-1,032-777-1300,126.628573,37.4725612,,"있음(20대, 주차요금 무료)",명절 기간 휴무,"매일 11:00~22:00
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",중국어 회화 가능 직원 있음,,,,돼지갈비,가능,,,,"갈비/188,비어/147,인천/117,맛집/113,고기/90,정보/51,양념/42,신포동/40,생생/39,진짜/37,냉면/36,중구/33,방송/30,주문/30,식당/29,인분/28,가게/28,주차/26,사장/26,추가/26,정말/25,위치/25,놀이/25,주차장/25,개항/24,돼지갈비/22,소개/21,돼지/21,기타/20,신포시/20,밑반찬/20,반찬/19,복사/19,이웃/19,본문/19,생각/19,기능/19,저희/19,인천광역시/18,가족/18,전통/17,바로/17,계란찜/17,사진/16,백년/16,메뉴/16,목살/16,생생정보통/15,시간/15,직접/15,돈비어천가/3,중구 /1,음식/1,한식/1",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d722a73c-611e-4545-b6b7-206df09a8b8d,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/616815_1473246516600670.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
133,497,음식,한식,명품삼계탕,인천 미추홀구 독정이로 112,032-889-0234,126.649967,37.465442,,"있음(8대, 주차요금 무료)",명절 당일 휴무,"매일 10:00~22:00
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,삼계탕,가능,,,,"삼계탕/325,명품/122,맛집/67,능이/66,국물/54,백숙/48,생각/38,능이버섯/35,기와집/33,소금/29,느낌/28,시간/24,추가/24,반찬/23,들깨/23,주문/23,메뉴/23,바로/23,보신/23,김치/22,이웃/22,해천/21,기능/21,기타/20,키트/20,복사/20,본문/20,음식/19,포장/19,먹기/18,강남/18,고로쇠/18,강남구청역/18,논현동/18,여름/17,가게/17,정말/17,찹쌀/17,가격/16,오늘/16,청라/16,고기/15,깍두기/15,산곡동/14,식당/14,인천/14,보양식/14,정도/14,닭갈비/14,예약/14,한식/1,명품삼계탕/1,미추홀구 /1",http://post.phinf.naver.net/MjAxNzA2MTVfMTgx/MDAxNDk3NTA0NzY5NDM4.KFav2a6dGt6BthI2j5uw2_nhosP8uU5Q2eKWWvMAHaUg.8CMb5nN4y_m_RiWSCq1r55mSDWecxYb0PH7yNJ-q8SIg.JPEG/I3Tn0O81PEQkdQnkOTiO2r2v1LGo.jpg,http://imgnews.naver.net/image/468/2019/07/10/0000532504_001_20190710161329445.jpg
134,499,음식,한식,바다해물탕,인천 남동구 하촌로 58,032-464-4944,126.733527,37.4528889,,있음(10대),"여름휴가 기간, 명절 기간 휴무","매일10:30~23:00
평일 브레이크 타임: 15:00~17:00",,"있음 (남녀구분, 업소내부 위치)",,,,,해물탕,가능,,,,"해물탕/324,바다/249,여수/236,맛집/204,푸른/132,해물/93,해산물/54,문어/51,싱싱/44,국물/44,횟집/41,메뉴/41,조개/39,갓김치/38,추가/37,손질/36,정말/34,전복/34,꽃게/33,사장/33,주문/31,위치/31,여행/30,바로/30,해물찜/30,여수시/27,연동/27,제주/27,가오동/26,동해/26,반찬/25,방문/25,라면/25,국동/24,아주/24,시간/24,새우/24,식사/24,먹기/23,사리/23,칼국수/23,주차/22,진짜/21,재생/21,밑반찬/21,여기/21,기타/20,복사/20,이웃/20,본문/20,음식/1,한식/1,남동구 /1,바다해물탕/1","https://mp-seoul-image-production-s3.mangoplate.com/161807/oi6qpxp7bfkqfe.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",https://sitem.ssgcdn.com/47/16/75/item/1000303751647_i1_1100.jpg
135,502,음식,한식,정정당당 화로구이(만수 화로구이),인천 남동구 백범로 182,032-462-8592,126.728455,37.4585425,,있음(35대)/무료,연중무휴,연중무휴,,"남녀구분, 업소내부 위치",메뉴판 내 영문 표기,,,,"생등심, 김치찌개",가능,,,,"구이/123,화로/114,맛집/79,고기/61,만수동/50,한우/41,소고기/34,인천/33,정정당당/29,때문/28,갈비/26,냉면/25,추가/25,촌리/24,시간/21,주문/20,돼지갈비/20,식당/19,방문/19,고등어/19,안심/18,정말/18,이웃/18,남동구/17,기타/16,동치미/16,복사/16,조림/16,본문/16,기능/16,저희/16,등심/15,부위/15,숯불/15,정육/15,위치/15,오늘/15,백범로/14,추천/13,매장/13,식사/12,먹기/11,수유/11,가게/11,메뉴/11,회식/11,판매/11,정도/11,내부/11,영업/11,음식/1,한식/1,남동구 /1,정정당당 화로구이(만수 화로구이)/1",https://image-logo.alba.kr/%2Fdata_image2%2Fcomlogo%2F202106%2F2021061215214375691_0_m.jpg,https://image-logo.alba.kr/%2Fdata_image2%2Fcomlogo%2F202011%2F2020111011463096801_0_m.jpg
136,505,음식,한식,회마트서산갯마을,인천 강화군 화도면 해안남로2845번길 10,032-937-6080,126.392012,37.6392728,,"있음(50대, 주차요금 무료)",연중무휴,"평일 09:00~22:30
토요일 09:00~22:00
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,밴댕이회 밴댕이완자탕,가능,,,,"방영/868,요리/237,식당/131,한식/117,서울/112,고기/96,갈비/85,칼국수/85,해물/84,마을/81,구이/80,밴댕이/80,경기/76,육류/66,서산/65,생선/59,만두/57,맛집/54,카페/52,국수/52,펜션/51,번길/51,전골/50,전문점/49,우리/47,곱창/47,한우/46,강화도/45,강화/44,해물찜/44,정식/44,냉면/43,곰탕/43,두부/42,불고기/41,숯불/40,음식/39,낙지/39,돼지/39,막국수/38,갈비탕/37,매운탕/37,장어/36,코스/36,족발/36,베이커리/36,닭갈비/36,치킨/35,전복/34,여행/33,회마트서산갯마을/1,화도면 /1,강화군 /1",http://tong.visitkorea.or.kr/cms/resource/17/1945917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1945905_image2_1.jpg
137,508,음식,한식,2층 다복집,인천 중구 연안부두로 16 2층,032-882-3450,126.603583,37.4565683,,,연중무휴,"09:00~21:00
브레이크 타임 없음",,"남녀분리, 업소외부 위치","영어, 일어, 중국어 회화 가능 직원 있음",,,,밴댕이회무침,가능,,,,"밴댕이/174,다복/133,인천/114,맛집/79,안부/49,주문/35,연안/34,중구/32,부두/28,바로/28,가게/27,거리/27,주차장/26,처음/25,메뉴/25,스지탕/24,사람/24,여기/23,신포동/22,가격/22,진짜/21,주차/21,방문/21,자리/20,추천/20,안주/20,정말/20,추가/20,시간/19,이웃/19,생물/19,사진/18,인천광역시/18,카페/18,위치/18,기타/17,주점/17,복사/17,본문/17,생각/17,기능/17,먹기/16,보쌈/16,맥주/16,식당/16,오늘/16,아빠/15,건물/15,우리/15,정도/14,중구 /1,음식/1,한식/1,2층 다복집/1",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAxMjJfMjcw%2FMDAxNjc0Mzc5MjU4NDAw.ozrti2T3Co4Ib9m5a87mJp0w5-jxL12SQ0K1xyG68kMg.oaw2lXuXjzqUtNctx5aFfSiBwKmEKV42J5iWdooBfDcg.JPEG.hyunjjjji%2F20230122%25A3%25DF094315.jpg=sc960_832,http://post.phinf.naver.net/MjAxODA5MDdfMjQy/MDAxNTM2MzIyMzg2ODUx.jDZ4EC_7K4CUAJOMfvEzKXK6MPruRR-fCURGqglFmQog.IO-jOC3xqfEaVJXNe7VTWOpeoOk-KKVUdL_5dGvYD_wg.JPEG/I6CEHBUGaagZLNXDLoXI0z-XMowg.jpg
138,512,음식,한식,전복촌,인천 남동구 예술로204번길 35,032-428-2818,126.703548,37.4523887,,있음(무료),"명절 전날, 당일 휴무","(평일) 11:30~22:00
(주말) 11:30~21:30
브레이크 타임 (평일) 15:00~17:00, (주말) 15:30~16:30",,"있음 (남녀구분, 업소내부 위치)",영어 회화 가능 직원 있음,,,,전복 코스요리,가능,,,,"전복/621,인천/163,맛집/131,요리/123,정식/119,구월동/112,메뉴/105,식사/105,한정식/96,음식/95,코스/65,튀김/60,내장/56,새우/52,예약/51,상견례/49,코다리/46,미역국/45,정말/44,누룽지/44,불고기/40,모임/40,샐러드/38,식당/37,테이블/37,점심/36,장수/35,진짜/34,아주/34,가족/33,초밥/32,식감/32,예술/31,남동구/31,주문/30,장소/29,주차/29,빌딩/29,준비/29,주차장/29,해인/28,번길/28,방문/28,하나/27,기능/27,추가/27,해물/26,백운호수/26,잡채/26,정도/24,한식/1,남동구 /1,전복촌/1",https://d2uja84sd90jmv.cloudfront.net/posts/zwvqxhq1jsGsCJzAPL1Myg/m.jpg,https://ldb-phinf.pstatic.net/20200711_151/1594456029504o5qYN_JPEG/DQR6rDtvdiXsRaulUd1W5QCf.jpg
139,520,음식,한식,만미가셀프장어구이,인천 서구 백범로622번길 20,032-571-0590~1,126.687909,37.4785724,,"있음(30대, 주차요금 무료)",명절 기간 휴무,"매일 11:00~22:00
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,"장어탕, 매운탕",불가,,,,"장어/412,셀프/231,장어구이/219,미가/185,맛집/154,인천/121,서구/81,가좌동/57,주문/54,김치/48,소스/47,진짜/47,테이블/44,반찬/43,상차림/40,생강/39,방문/38,모임/38,저희/36,깻잎/35,정말/33,국수/33,판매/32,주차장/31,손님/30,정도/30,구이/29,번길/29,주차/29,백범로/29,가족/28,가재/27,이웃/27,소금/27,추가/27,인천광역시/26,가격/26,위치/26,음료/25,무제한/24,처음/24,가게/23,메뉴/23,마늘/23,완전/23,여기/23,시간/22,직원/22,매장/22,도시락/22,음식/1,만미가셀프장어구이/1,한식/1,서구 /1",http://tong.visitkorea.or.kr/cms/resource/98/2841898_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2841899_image2_1.jpg
140,521,음식,한식,명품관,인천 중구 신도시남로141번길 13-5,032-746-9233,126.489059,37.4934429,,"있음(50대, 주차요금 무료)",연중무휴,"매일 10:00~22:00
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)","영어, 중국어 회화 가능 직원 있음, 메뉴판 내 영문, 중국어 표기",,,,"갈비탕, 소갈비",가능,,,,"한우/171,맛집/83,소고기/82,고기/82,명품/71,품관/68,아일랜드/66,매장/59,칠곡/54,수성/40,식사/34,대구/33,면세점/31,정말/31,가격/30,식당/29,바로/29,추가/29,태전동/27,된장찌개/26,구경/26,생각/26,교동면/25,시간/24,아울렛/24,주차/23,위치/23,진짜/22,여행/22,브랜드/22,주차장/22,상차림/22,투뿔/21,이웃/21,기능/21,기타/20,등심/20,복사/20,본문/20,주문/19,우리/19,오늘/19,사람/19,인천공항/19,부위/18,북구/18,쇼핑/18,방문/17,정도/17,루이비통/17,중구 /1,음식/1,한식/1,명품관/1",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA2MDZfMjcx%2FMDAxNTkxNDQwMjcxNTgx.RjZRrA9GefkUtiHzz1H3NpV-0QM3dqgPNHKelq02ta0g.cRER8oPtgI36UkXMjpT4XeZCtb5YMN3UJRVg_YbHySIg.JPEG.dreamnalido%2FKakaoTalk_20200604_205924224_03.jpg=sc960_832,http://imgnews.naver.net/image/5289/2020/08/14/2020081413294004933204ead07911142022056_20200814133055894.jpg
141,524,음식,한식,범호고향밥상,인천 강화군 화도면 마니산로675번길 17,032-937-3648,126.424379,37.6328463,,"있음(10대, 주차요금 무료, 공영주차장도 이용가능)",격주 수요일 휴무,"매일 08:30~19:00
브레이크타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,갈치 조림,가능,,,,"갈치/341,마니산/252,조림/231,맛집/194,범호/164,고향/164,밥상/161,강화도/135,한식/78,반찬/45,정말/43,식당/32,주문/32,여행/31,강화군/31,바로/31,사장/31,직접/30,저희/28,진짜/27,추가/27,메뉴/26,화도면/26,먹기/25,추천/25,번길/25,등산/25,위치/25,양념/24,강화/24,시간/23,방문/23,테이블/23,식사/23,입구/22,고사리/22,정도/22,이웃/21,국물/21,단체/20,기타/19,인분/19,구이/19,복사/19,본문/19,기능/19,제주도/19,주차장/19,제주/19,볶음/18,음식/1,화도면 /1,강화군 /1,범호고향밥상/1",https://modo-phinf.pstatic.net/20230517_113/16843048645928ilq1_JPEG/mosacuvdY1.jpeg,https://ldb-phinf.pstatic.net/20201202_262/16068700641325Vy8S_JPEG/Em9uhTtl7jXN-cXBcTHRNf3h.jpg
142,527,음식,한식,보릿골계산점,인천 계양구 장제로 799,032-555-0078,126.734206,37.5392955,,"있음(25대, 주차요금 무료)",명절 2일 휴무,"매일 11:30~21:30
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,보리밥 정식,가능,,,,"보릿골/141,보리밥/115,계산/83,맛집/59,정식/40,메뉴/37,계양구/34,나물/33,반찬/31,보쌈/28,비지/28,추가/28,청국장/27,주문/23,주차장/21,숯불/20,인천/20,계산동/20,생각/20,기타/19,음식/19,장제로/19,프라자/19,수제비/19,복사/19,이웃/19,본문/19,기능/19,동성/19,쌈밥/18,인천광역시/18,위치/18,비빔밥/18,사진/17,식당/16,주차/16,방문/16,육회/14,숭늉/14,제육/13,시간/13,가격/13,내부/13,인분/12,직원/12,계양/12,누룩/12,이벤트/11,포장/11,셀프/11,한식/1,보릿골계산점/1,계양구 /1",https://ldb-phinf.pstatic.net/20170327_248/1490588542325RRtuF_PNG/186277535240529_5.png,
143,532,음식,양식,빕스 계산점,인천 계양구 장제로 807,032-547-5997,126.734353,37.5400607,,,연중무휴,"10:30~22:00
브레이크 타임: 15:30~17:30",,"있음 (남녀구분, 업소내부 위치)",메뉴판 내 영문 표기,,,,양식 뷔페,가능(포장 전용 메뉴 한정),,,,"빕스/364,계산/160,와인/158,샐러드/147,메뉴/101,할인/80,치즈/74,이용/67,음식/54,무제한/46,인천/43,연어/42,계양구/41,시간/39,피자/39,종류/38,가격/37,평일/36,주말/35,매장/34,방문/33,예약/33,접시/32,파스타/31,코너/31,추가/30,생각/29,디너/29,맥주/27,스테이크/26,와플/26,진짜/25,장제로/25,바로/25,아이/23,아이스크림/23,정말/23,훈제/22,뷔페/22,카드/22,주차/21,로봇/21,치킨/21,이웃/21,하나/21,준비/21,가족/21,저희/21,쿠폰/20,복사/20,빕스 계산점/1,계양구 /1,양식/1",http://imgnews.naver.net/image/5141/2019/01/07/0000098272_001_20190107104231889.jpg,https://image-logo.alba.kr/%2Fdata_image2%2Fcomlogo%2F202212%2F2022120814522846460_0_m.jpg
144,537,음식,한식,갯마을갯뻘낙지,인천 연수구 벚꽃로158번길 38,032-815-5255,126.680922,37.4140458,,있음(2대)/무료(2시간 무료 주차권 제공(연수동 세계로마트)),"첫째, 셋째 일요일 휴무","11:30~22:00
/브레이크 타임 없음",,"남녀공용, 업소외부 위치",메뉴판 내 영문 표기,,,,"박속낙지, 철판낙지",가능,,,,"마을/171,체험/151,낙지/119,맛집/79,고흥군/76,연수동/48,인천/47,연수구/44,전라남도/39,바다/34,갯마을갯뻘낙/30,농어촌/28,위치/28,어촌/26,갯벌/23,인천광역시/23,홈페이지/22,번길/22,펜션/20,고흥/19,전남/18,휴양/18,송도/18,전복/18,갯뻘낙/17,프로그램/16,추가/16,생태/15,음식/15,한국/15,산촌/15,지정/15,연락처/15,풍류/15,진짜/14,꼬막/14,기능/14,선정/14,국물/14,여름/13,기타/13,친구/13,대표자/13,시간/13,복사/13,중왕리/13,이웃/13,본문/13,요리/12,우리/12,한식/1,연수구 /1,갯마을갯뻘낙지/1",https://mp-seoul-image-production-s3.mangoplate.com/51661/caja4skshyh1yo.jpg,"https://mp-seoul-image-production-s3.mangoplate.com/51661/dvm4-itfjtjqev.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
145,542,음식,한식,섬사랑굴사랑,인천 옹진군 북도면 모도로50번길 10,032-752-7441,126.413101,37.5357749,,"있음(10대, 주차요금 무료)",연중무휴,"10:00~20:00
브레이크 타임 없음",,"있음 (남녀구분, 업소외부 위치)",,,,,"우럭매운탕, 물회",가능,,,,"사랑/202,소라/121,맛집/77,모도/72,물회/62,신시모도/48,정말/48,식당/38,인천/27,진짜/23,북도면/22,펜션/21,여행/20,이웃/20,추가/20,신도/20,기타/19,밑반찬/19,복사/19,본문/19,기능/19,옹진군/17,바다/17,위치/17,광어/16,칼국수/16,추천/15,주문/15,메뉴/15,인천광역시/15,야채/15,번길/14,회덮밥/14,도모/14,사장/13,시도/13,영종도/12,생각/12,사진/11,반찬/11,음식/11,굴밥/11,하나/11,여기/11,바로/11,후기/11,듬뿍/11,자전거/11,방문/10,먼저/10,북도면 /1,한식/1,섬사랑굴사랑/1,옹진군 /1",https://search.pstatic.net/common/?src=http%3A%2F%2Fcafefiles.naver.net%2FMjAyMDAyMThfMjY4%2FMDAxNTgyMDEyMDQzMDU3.LWQPE72bcE16h20CsuTyiUzNTrnNz8xO5oDETp06uuAg.w8aUNcjLpHe6bG5RSAEbHkrKZQYAOxJGJlOdiE2ZVFog.JPEG%2FC02444_000.jpg=sc960_832,https://s3.burpple.com/foods/31339443948282713701085906_original.?1407215008
146,546,음식,한식,송도갈매기 주안점,인천 미추홀구 구월로 23,032-426-0028,126.692996,37.4578958,,"있음(30대, 주차요금 무료)",명절 당일 휴무,"11:30~21:30
브레이크 타임 없음",,"있음 (남녀구분, 업소내부 위치)",,,,,갈매기살,가능,,,,"갈매기/299,송도/248,주안/179,갈매기살/116,고기/91,맛집/85,인분/74,전통/63,막국수/60,인천/51,주문/45,양념/41,추가/41,가족/38,메뉴/35,바위/35,예약/34,본점/32,샐러드/29,시장/29,방문/27,미추홀/27,반찬/25,비빔/25,테이블/25,구월로/25,갈비/24,인천광역시/24,시간/23,마늘/23,바로/22,식사/22,진짜/21,주차/21,직원/21,저희/21,먹기/20,위치/20,통생/20,김치찌개/20,모임/19,갈비살/19,기타/18,추천/18,복사/18,이웃/18,본문/18,기능/18,오늘/17,외식/16,송도갈매기 주안점/1,음식/1,한식/1,미추홀구 /1",https://ldb-phinf.pstatic.net/20220530_155/1653895152506FCbgV_JPEG/168494210_399850954524545_3779005600085867283_n.jpg,https://d2uja84sd90jmv.cloudfront.net/posts/KfHjB8Xlr5j8mJAj7ziCzg/m.jpg
