호선,통행일자,역명,구분,이용인원
1,2022-07-01,계양,승차,3425
1,2022-07-01,계양,하차,3307
1,2022-07-02,계양,승차,2826
1,2022-07-02,계양,하차,2862
1,2022-07-03,계양,승차,2074
1,2022-07-03,계양,하차,2325
1,2022-07-04,계양,승차,3372
1,2022-07-04,계양,하차,3309
1,2022-07-05,계양,승차,3391
1,2022-07-05,계양,하차,3368
1,2022-07-06,계양,승차,3403
1,2022-07-06,계양,하차,3277
1,2022-07-07,계양,승차,3314
1,2022-07-07,계양,하차,3152
1,2022-07-08,계양,승차,3470
1,2022-07-08,계양,하차,3274
1,2022-07-09,계양,승차,2787
1,2022-07-09,계양,하차,2882
1,2022-07-10,계양,승차,1889
1,2022-07-10,계양,하차,2100
1,2022-07-11,계양,승차,3297
1,2022-07-11,계양,하차,3202
1,2022-07-12,계양,승차,3386
1,2022-07-12,계양,하차,3444
1,2022-07-13,계양,승차,2920
1,2022-07-13,계양,하차,2866
1,2022-07-14,계양,승차,3380
1,2022-07-14,계양,하차,3333
1,2022-07-15,계양,승차,3640
1,2022-07-15,계양,하차,3399
1,2022-07-16,계양,승차,2738
1,2022-07-16,계양,하차,2846
1,2022-07-17,계양,승차,1929
1,2022-07-17,계양,하차,2262
1,2022-07-18,계양,승차,3212
1,2022-07-18,계양,하차,3122
1,2022-07-19,계양,승차,3437
1,2022-07-19,계양,하차,3376
1,2022-07-20,계양,승차,3347
1,2022-07-20,계양,하차,3347
1,2022-07-21,계양,승차,3308
1,2022-07-21,계양,하차,3188
1,2022-07-22,계양,승차,3412
1,2022-07-22,계양,하차,3293
1,2022-07-23,계양,승차,2494
1,2022-07-23,계양,하차,2669
1,2022-07-24,계양,승차,1717
1,2022-07-24,계양,하차,2004
1,2022-07-25,계양,승차,3256
1,2022-07-25,계양,하차,3099
1,2022-07-26,계양,승차,3322
1,2022-07-26,계양,하차,3135
1,2022-07-27,계양,승차,3234
1,2022-07-27,계양,하차,3147
1,2022-07-28,계양,승차,3236
1,2022-07-28,계양,하차,3068
1,2022-07-29,계양,승차,3154
1,2022-07-29,계양,하차,3163
1,2022-07-30,계양,승차,2276
1,2022-07-30,계양,하차,2523
1,2022-07-31,계양,승차,1494
1,2022-07-31,계양,하차,1723
1,2022-08-01,계양,승차,2798
1,2022-08-01,계양,하차,2771
1,2022-08-02,계양,승차,2694
1,2022-08-02,계양,하차,2730
1,2022-08-03,계양,승차,2779
1,2022-08-03,계양,하차,2759
1,2022-08-04,계양,승차,3121
1,2022-08-04,계양,하차,2979
1,2022-08-05,계양,승차,3141
1,2022-08-05,계양,하차,3049
1,2022-08-06,계양,승차,2436
1,2022-08-06,계양,하차,2730
1,2022-08-07,계양,승차,1745
1,2022-08-07,계양,하차,2149
1,2022-08-08,계양,승차,2675
1,2022-08-08,계양,하차,2636
1,2022-08-09,계양,승차,2636
1,2022-08-09,계양,하차,2619
1,2022-08-10,계양,승차,3116
1,2022-08-10,계양,하차,2948
1,2022-08-11,계양,승차,2951
1,2022-08-11,계양,하차,2921
1,2022-08-12,계양,승차,3326
1,2022-08-12,계양,하차,3266
1,2022-08-13,계양,승차,2180
1,2022-08-13,계양,하차,2433
1,2022-08-14,계양,승차,1861
1,2022-08-14,계양,하차,2084
1,2022-08-15,계양,승차,1814
1,2022-08-15,계양,하차,1995
1,2022-08-16,계양,승차,3071
1,2022-08-16,계양,하차,3095
1,2022-08-17,계양,승차,3228
1,2022-08-17,계양,하차,3101
1,2022-08-18,계양,승차,3271
1,2022-08-18,계양,하차,3259
1,2022-08-19,계양,승차,3287
1,2022-08-19,계양,하차,3195
1,2022-08-20,계양,승차,2575
1,2022-08-20,계양,하차,2777
1,2022-08-21,계양,승차,1881
1,2022-08-21,계양,하차,2249
1,2022-08-22,계양,승차,3260
1,2022-08-22,계양,하차,3170
1,2022-08-23,계양,승차,3240
1,2022-08-23,계양,하차,3247
1,2022-08-24,계양,승차,3431
1,2022-08-24,계양,하차,3314
1,2022-08-25,계양,승차,3387
1,2022-08-25,계양,하차,3226
1,2022-08-26,계양,승차,3482
1,2022-08-26,계양,하차,3493
1,2022-08-27,계양,승차,2817
1,2022-08-27,계양,하차,3095
1,2022-08-28,계양,승차,2214
1,2022-08-28,계양,하차,2522
1,2022-08-29,계양,승차,3502
1,2022-08-29,계양,하차,3334
1,2022-08-30,계양,승차,3197
1,2022-08-30,계양,하차,3122
1,2022-08-31,계양,승차,3640
1,2022-08-31,계양,하차,3456
1,2022-09-01,계양,승차,3724
1,2022-09-01,계양,하차,3572
1,2022-09-02,계양,승차,3825
1,2022-09-02,계양,하차,3732
1,2022-09-03,계양,승차,3048
1,2022-09-03,계양,하차,3190
1,2022-09-04,계양,승차,1629
1,2022-09-04,계양,하차,1747
1,2022-09-05,계양,승차,3063
1,2022-09-05,계양,하차,2926
1,2022-09-06,계양,승차,3189
1,2022-09-06,계양,하차,3120
1,2022-09-07,계양,승차,3719
1,2022-09-07,계양,하차,3600
1,2022-09-08,계양,승차,3665
1,2022-09-08,계양,하차,3726
1,2022-09-09,계양,승차,1831
1,2022-09-09,계양,하차,2170
1,2022-09-10,계양,승차,1491
1,2022-09-10,계양,하차,1721
1,2022-09-11,계양,승차,1957
1,2022-09-11,계양,하차,2185
1,2022-09-12,계양,승차,2301
1,2022-09-12,계양,하차,2475
1,2022-09-13,계양,승차,3638
1,2022-09-13,계양,하차,3366
1,2022-09-14,계양,승차,3676
1,2022-09-14,계양,하차,3542
1,2022-09-15,계양,승차,3783
1,2022-09-15,계양,하차,3650
1,2022-09-16,계양,승차,3739
1,2022-09-16,계양,하차,3721
1,2022-09-17,계양,승차,2941
1,2022-09-17,계양,하차,3209
1,2022-09-18,계양,승차,2233
1,2022-09-18,계양,하차,2532
